	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	306	696.729	0	-0.0113523	3.01902	0.202068	(-376.861,-183.758,519.729)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-505.946	-368.096	572.723	-0.427758	0.205744	0.880652	2.18117	Si
-506.549	-367.805	573.965	-0.239608	0.715505	0.208109	2.16493	Si
-508.013	-363.435	575.236	-0.148359	0.726574	0.250014	2.09427	Si
-508.29	-362.079	575.703	-0.20392	0.728487	0.207893	2.0722	Si
-509.213	-358.783	576.644	-0.138128	0.768688	0.114328	2.01832	Si
-509.438	-357.53	576.83	0.0628755	0.790335	-0.0995779	1.99858	Si
-509.171	-354.183	576.408	0.100225	0.778341	-0.154944	1.94695	Si
-508.875	-351.877	575.949	0.148027	0.771298	-0.154551	1.91021	Si
-508.82	-351.59	575.892	0.136821	0.760672	-0.217237	1.90555	Si
-508.635	-350.566	575.599	0.0903058	0.747604	-0.285032	1.88863	Si
-508.477	-349.256	575.1	0.122111	0.73959	-0.295219	1.86647	Si
-507.431	-342.919	572.57	0.0548857	0.74179	-0.313044	1.75729	Si
-507.275	-340.818	571.684	0.214861	0.734304	-0.271266	1.71979	Si
-506.513	-338.212	570.721	0.201212	0.735805	-0.280114	1.67213	Si
-506.423	-337.883	570.596	0.214589	0.756416	-0.146772	1.66603	Si
-506.138	-336.877	570.401	0.264382	0.548061	-0.569617	1.64781	Si
-504.964	-334.445	567.873	0.28693	0.543191	-0.559536	1.5866	Si
-504.669	-333.887	567.298	0.314321	0.500484	-0.602869	1.57208	Si
-504.508	-333.63	566.988	0.491568	0.342482	-0.643114	1.56477	Si
-504.483	-333.612	566.956	0.503745	0.324166	-0.690922	1.56406	Si
-504.261	-333.469	566.65	0.616563	0.118891	-0.674519	1.55777	Si
-503.046	-333.235	565.321	0.632495	0.0479752	-0.701995	1.52961	Si
-502.039	-333.159	564.204	0.637745	-0.0203617	-0.755206	1.50661	Si
-501.299	-333.182	563.327	0.637324	-0.0250811	-0.703859	1.48967	Si
-501.227	-333.185	563.248	0.63505	0.116326	-0.72158	1.48802	Si
-500.781	-333.103	562.741	0.617175	0.199138	-0.716332	1.47769	Si
-499.997	-332.85	561.831	0.58452	0.25025	-0.645388	1.45893	Si
